Substrate,Products,Kinetic Law,Modifiers,Parameters,,,,,,,,,Parameters,,,,
IKKpC,IKKC,Hill Equation,,k1_IpCu k2_kmIpCu,,,IKKpC dephosphorylation,,,,,,kIpCu,kmIpCu,k1_kIpCu,k2_kmIpCu,k1_kIpCu k2_kmIpCu
IKK,IKKC,DualModAssociation,CB CpB,k1_IaB ,,,association between CB and IKK,,,,,,kIaB,,k1_kIaB,,k1_kIaB 
IKK,IKKC,DualModAssociation,CM CpM,k1_IaM ,,,association between CM and IKK,,,,,,kIaM,,k1_kIaM,,k1_kIaM 
IKK,IKKC,DualModAssociation,CBM CpBM ,k1_IaBM ,,,association between CBM and IKK,,,,,,kIaBM,,k1_kIaBM,,k1_kIaBM 
IKKC,IKK ,Spontaneous,,k1_ICd ,,,dissociation between CBM and IKK,,,,,,kICd,,k1_kICd,,k1_kICd 
IKKp,IKKpC,DualModAssociation,CB CpB ,k1_IpaB ,,,association between CB and IKKp,,,,,,kIpaB,,k1_kIpaB,,k1_kIpaB 
IKKp ,IKKpC ,DualModAssociation,CM CpM,k1_IpaM ,,,association between CM and IKKp,,,,,,kIpaM,,k1_kIpaM,,k1_kIpaM 
IKKp,IKKpC,DualModAssociation,CBM CpBM,k1_IpaBM ,,,association between CBM and IKKp,,,,,,kIpaBM,,k1_kIpaBM,,k1_kIpaBM 
IKKpC,IKKp,Spontaneous,,k1_IpCd ,,,dissociation between CBM and IKKp,,,,,,kIpCd,,k1_kIpCd,,k1_kIpCd 
IKKpC,IKKppC,Hill Equation,,k1_IpCfaIKKpC k2_kmIpCfaIKKpC,,,basal IKKpC phosphorylation,,,,,,kIpCfaIKKpC,kmIpCfaIKKpC,k1_kIpCfaIKKpC,k2_kmIpCfaIKKpC,k1_kIpCfaIKKpC k2_kmIpCfaIKKpC
IKKpC,IKKppC,Activation_bymod1,IKKppC,k1_IpCfaIKKppC k2_kmIpCfaIKKppC,,,IKKppC-feedback induced IKKpC phosphorylation,,,,,,kIpCfaIKKppC,kmIpCfaIKKppC,k1_kIpCfaIKKppC,k2_kmIpCfaIKKppC,k1_kIpCfaIKKppC k2_kmIpCfaIKKppC
IKKppC,IKKpC,Hill Equation,,k1_IppCu k2_kmIppCu,,,IKKppC dephosphorylation,,,,,,kIppCu,kmIppCu,k1_kIppCu,k2_kmIppCu,k1_kIppCu k2_kmIppCu
IKKppC,IKKpp,Spontaneous,,k1_IppCd ,,,dissociation between CBM and IKKpp,,,,,,kIppCd,,k1_kIppCd,,k1_kIppCd 
IKKppC,IKKi,Hill Equation,,k1_IppChf k2_kmIppChf,,,IKKppC inactivation,,v79,,,,kIpphf,kmIpphf,k1_kIpphf,k2_kmIpphf,k1_kIpphf k2_kmIpphf
IKKpp ,IKKi,Hill Equation,,k1_Ipphf k2_kmIpphf,,,IKKpp inactivation,,,,,,kIppChf,kmIppChf,k1_kIppChf,k2_kmIppChf,k1_kIppChf k2_kmIppChf
IKKi,IKK,Hill Equation,,k1_Iir k2_kmIir,,,recycling,,,,,,kIir,kmIir,k1_kIir,k2_kmIir,k1_kIir k2_kmIir
,A20,A20 Alternate Expression,IKKp IKKpC IKKpp IKKppC,k1_A20linearinduction,,,A20 induced by all the active forms of IKK,,,,,,,,,,
A20,,Mass Action Deg,,k1_A20log2halflife,,,,,,,,,,,,,
